OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,SalePrice
6,1375,2,451,1367,1375,140000
7,1668,2,500,840,840,180000
6,2144,2,389,1444,1444,277000
3,1306,0,0,728,1306,76500
8,1625,2,538,1573,1625,235000
6,1640,2,520,798,798,173000
6,1302,1,309,1302,1302,158000
5,1314,1,294,1314,1314,145000
7,2291,2,429,975,1005,230000
6,1728,2,673,864,864,207500
7,1604,2,660,1604,1604,220000
7,1792,2,564,963,963,231500
5,882,1,308,0,882,97000
6,1382,2,884,1362,1382,176000
8,2574,3,868,1482,1482,276000
6,1212,2,492,506,1212,151000
5,1316,2,484,926,926,130000
5,764,2,504,680,764,73000
6,1422,2,576,1422,1422,175500
6,1511,2,413,802,802,185000
5,2192,1,240,720,1052,179500
5,778,1,924,740,778,120500
6,1113,1,504,1143,1113,148000
8,1939,3,1053,1095,1095,266000
7,1363,2,439,1385,1363,241500
8,2270,3,671,1152,1164,290000
6,1632,1,338,1240,1632,139000
5,816,1,264,816,816,124500
7,1548,2,672,952,952,205000
7,1560,2,573,1560,1560,201000
4,864,2,400,864,864,141000
9,2121,3,732,2121,2121,415298
7,2022,2,505,1160,1156,192000
7,1982,2,575,807,1175,228500
6,1262,2,572,1262,1262,185000
7,1314,2,626,1314,1314,207500
8,1468,3,898,1468,1468,244600
6,1575,2,529,1575,1575,179200
7,1250,2,528,625,625,164700
6,1734,2,440,912,1085,159000
4,858,0,0,858,858,88000
5,900,1,280,882,900,122000
6,1396,1,384,698,698,153575
8,1919,2,685,1079,1079,233230
5,1716,0,0,780,936,135900
5,1716,1,281,768,1148,131000
7,2263,2,539,795,1468,235000
6,1644,2,418,1416,1644,167000
6,1003,2,588,1003,1003,142500
5,1558,1,282,910,910,152000
7,1950,2,576,975,975,239000
6,1743,2,539,702,1041,175000
6,1152,1,300,1092,1152,158500
5,1336,1,375,1165,1336,157000
8,2452,2,683,1028,1210,267000
7,1541,3,843,1541,1541,205000
5,894,2,552,894,894,149900
7,3493,3,870,1470,1675,295000
8,2000,3,888,2000,2000,305900
7,2243,3,746,700,1122,225000
6,1406,0,0,319,1035,89500
4,861,2,539,861,861,82500
9,1944,3,708,1896,1944,360000
6,1501,2,420,697,697,165600
6,972,1,240,972,972,132000
5,1118,2,410,793,793,119900
7,2036,2,513,2136,2036,375000
7,1641,2,546,728,832,178000
7,1432,2,432,716,716,188500
7,2353,2,484,845,1153,260000
8,1959,3,1025,1088,1088,270000
7,2646,3,656,1347,1372,260000
7,1472,2,588,1372,1472,187500
9,2596,3,840,1249,1249,342643
8,2468,3,872,1136,1136,354000
7,2730,2,576,1502,1553,301000
3,1163,1,220,1162,1163,126175
7,2978,2,564,710,1898,242000
5,803,2,360,720,803,87000
8,1719,2,473,1719,1719,324000
6,1383,1,292,1383,1383,145250
6,2134,2,441,844,1445,214500
5,1192,1,189,596,596,78000
5,1728,1,352,1728,1728,119000
5,1056,1,308,1056,1056,139000
8,1629,3,880,3206,1629,284000
7,1358,2,484,1358,1358,207000
6,1638,2,472,943,943,192000
5,1786,2,529,1499,1619,228950
9,1922,3,676,1922,1922,377426
7,1536,2,532,1536,1536,214000
7,1621,2,440,1208,1621,202500
6,1215,1,297,1215,1215,155000
8,1908,2,431,967,993,202900
4,841,1,294,721,841,82000
3,1040,2,400,0,1040,87500
9,1684,2,564,1684,1684,266000
5,1112,1,336,536,536,85000
6,1577,1,312,972,972,140200
6,958,1,301,958,958,151500
6,1478,2,498,1478,1478,157500
7,1626,2,474,764,764,154000
9,2728,3,706,1848,1848,437154
9,1869,2,617,1869,1869,318061
7,1453,2,445,1453,1453,190000
5,1111,1,200,616,616,95000
6,720,2,484,624,720,105900
6,1595,1,240,940,1192,140000
6,1200,2,521,1200,1200,177500
6,1167,2,400,1158,1167,173000
5,1142,2,528,1142,1142,134000
5,1352,1,288,1062,1352,130000
8,1924,2,592,1086,1086,280000
6,912,2,470,888,912,156000
5,1505,1,240,883,988,145000
7,1922,2,672,0,495,198500
6,987,1,264,483,483,118000
6,1574,2,566,796,790,190000
5,1344,1,468,672,672,147000
6,1394,2,514,1394,1394,159000
6,1431,1,296,1099,1431,165000
5,1268,1,244,1268,1268,132000
5,1287,2,576,1063,1287,162000
6,1664,2,460,953,953,172400
4,1588,2,680,0,1120,134432
6,752,1,264,744,752,125000
5,1319,1,270,608,1319,123000
7,1928,2,434,847,847,219500
1,904,0,0,683,904,61000
5,914,2,576,870,914,148000
8,2466,2,610,1580,1580,340000
9,1856,3,834,1856,1856,394432
6,1800,2,463,982,1007,179000
5,1691,1,308,1026,1026,127000
7,1301,2,572,1293,1301,187750
7,1797,2,639,939,939,213500
6,784,2,360,784,784,76000
6,1953,2,501,1580,1079,240000
8,1269,2,430,1256,1269,192000
5,1184,0,0,658,658,81000
6,1125,1,352,1041,1125,125000
7,1479,2,577,1468,1479,191000
10,2332,3,846,1682,1742,426000
5,1367,1,384,861,961,119000
6,1961,2,560,804,804,215000
5,882,1,294,0,882,106500
4,788,0,0,788,788,100000
5,1034,1,240,735,735,109000
5,1144,1,596,1144,1144,129000
5,894,2,600,894,894,123000
5,1812,1,264,864,876,169500
5,1077,1,338,961,1077,67000
7,1550,2,438,1092,1112,241000
8,1288,2,500,1260,1288,245500
7,1310,2,400,1310,1310,164990
5,672,1,240,672,672,108000
8,2263,2,420,1141,1165,258000
6,1572,2,373,806,806,168000
4,1620,2,490,1281,1620,150000
6,1639,1,240,1064,1166,115000
6,1680,1,308,840,840,177000
7,2172,3,947,1063,1071,280000
8,2078,3,836,1034,1050,339750
5,1276,1,350,1276,1276,60000
5,1056,2,572,1056,1056,145000
7,1478,2,484,1470,1478,222000
5,1028,2,360,1008,1028,115000
7,2097,3,678,1080,1080,228000
7,1340,2,396,1340,1340,181134
6,1400,2,440,672,672,149500
6,2624,3,864,1370,1370,239000
5,1134,1,240,756,756,126000
5,1056,1,304,1056,1056,142000
7,1344,4,784,1344,1344,206300
6,1602,2,529,1602,1602,215000
5,988,2,520,988,988,113000
8,2630,3,696,1470,1470,315000
6,1196,1,297,1196,1196,139000
7,1389,1,240,651,707,135000
7,1644,2,569,1518,1644,275000
4,907,1,352,907,907,109008
7,1208,2,628,1208,1208,195400
6,1412,2,576,1392,1412,175000
6,987,1,264,483,483,85400
6,1198,0,0,901,1088,79900
5,1365,2,440,765,765,122500
6,1604,2,470,926,926,181000
4,630,0,0,630,630,81000
7,1661,2,550,799,827,212000
6,1118,2,440,648,734,116000
6,904,1,180,884,904,119000
5,694,1,352,440,694,90350
6,1196,2,528,684,684,110000
10,2402,3,672,3094,2402,555000
4,1440,0,0,1440,1440,118000
5,1573,2,360,1078,1128,162900
7,1258,3,648,1258,1258,172500
7,1908,2,493,915,933,210000
6,1689,2,480,1436,1689,127500
6,1888,2,578,1517,1888,190000
7,1886,2,431,930,956,199900
6,1376,1,198,780,780,119500
3,1183,1,308,649,679,120000
6,813,1,270,813,813,110000
7,1533,2,576,1533,1533,280000
6,1756,2,422,872,888,204000
8,1590,2,676,768,786,210000
5,1728,2,560,1728,1728,188000
7,1242,2,528,1242,1242,175500
5,1344,3,513,624,624,98000
4,1663,2,529,1364,1663,256000
8,1666,1,228,588,833,161000
5,1203,1,352,709,979,110000
8,1935,2,552,832,832,263435
7,1135,2,576,560,575,155000
5,864,1,360,864,864,62383
6,1660,1,240,715,849,188700
5,1040,0,0,1040,1040,124000
7,1414,2,398,1375,1414,178740
7,1277,2,526,1277,1277,167000
5,1644,1,312,728,888,146500
8,1634,3,866,1626,1634,250000
6,1710,2,506,832,832,187000
8,1502,2,528,1488,1502,212000
7,1969,2,534,808,1161,190000
6,1072,2,525,547,1072,148000
8,1976,3,908,1976,1976,440000
8,1652,2,499,1494,1652,251000
5,970,2,624,970,970,132500
6,1493,2,508,1478,1493,208900
9,2643,3,694,2153,2069,380000
8,1718,3,826,1705,1718,297000
4,1131,2,672,907,1131,89471
9,1850,3,772,1833,1850,326000
9,1792,3,874,1792,1792,374000
7,1826,1,164,910,916,155000
6,1216,2,402,1216,1216,164000
5,999,1,264,999,999,132500
5,1113,1,264,1113,1113,147000
5,1073,2,515,1073,1073,156000
5,1484,2,487,1484,1484,175000
5,2414,2,520,954,1766,160000
4,630,1,286,630,630,86000
5,1304,1,336,264,616,115000
6,1578,1,240,806,958,133000
6,1456,2,429,728,728,172785
5,1269,1,308,1269,1269,155000
5,886,1,273,190,886,91300
4,720,0,0,720,720,34900
8,3228,2,546,3200,3228,430000
7,1820,1,240,1026,1133,184000
5,899,1,288,864,899,130000
5,912,1,297,912,912,120000
6,1218,1,264,672,672,113000
7,1768,2,603,866,866,226700
5,1214,2,461,1214,1214,140000
7,1801,2,484,1501,1801,289000
6,1322,2,440,855,855,147000
5,1960,2,400,960,960,124500
8,1911,2,471,777,1065,215000
6,1218,2,676,1218,1218,208300
7,1378,2,360,689,689,161000
5,1041,1,270,1041,1041,124500
5,1363,1,288,1008,1363,164900
7,1368,2,474,1368,1368,202665
5,864,2,624,864,864,129900
6,1080,2,484,1084,1080,134000
5,789,1,200,768,789,96500
10,2020,3,900,2006,2020,402861
6,2119,2,583,689,1378,158000
7,2344,3,889,1264,1277,265000
6,1796,2,546,794,882,211000
7,2080,1,282,1276,1276,234000
4,1294,0,0,0,694,106250
6,1244,1,336,1244,1244,150000
6,1664,2,420,1004,1004,159000
10,4676,3,884,3138,3138,184750
7,2398,3,834,1379,1383,315750
7,1266,2,453,1257,1266,176000
5,928,1,252,928,928,132000
9,2713,3,858,1452,1476,446261
4,605,0,0,528,605,86000
6,2515,2,484,2035,2515,200624
6,1509,2,600,1461,1509,175000
6,1362,2,502,611,751,128000
5,827,1,392,0,827,107500
1,334,0,0,0,334,39300
8,1414,2,403,707,707,178000
5,1347,0,0,1117,820,107500
7,1724,2,527,880,880,188000
4,864,2,576,864,864,111250
5,1159,1,336,1051,1159,158000
8,1601,2,670,1581,1601,272000
9,1838,3,765,1838,1838,315000
8,2285,3,648,969,997,248000
7,1680,2,583,1650,1680,213250
7,767,1,367,723,767,133000
7,1496,2,426,654,664,179665
7,2183,3,786,1204,1377,229000
6,1635,2,440,1065,915,210000
5,768,2,624,768,768,129500
5,825,2,720,825,825,125000
7,2094,2,615,912,912,263000
6,1069,2,440,1069,1069,140000
5,928,1,288,928,928,112500
8,1717,3,908,1709,1717,255500
4,1126,2,520,0,1126,108000
7,2046,3,871,998,1006,284000
5,1048,1,280,993,1048,113000
5,1092,1,299,1092,1092,141000
4,1336,1,570,637,897,108000
7,1446,2,406,729,729,175000
7,1557,2,420,1374,1557,234000
5,1392,2,528,1392,1392,121500
5,1389,2,418,1389,1389,170000
5,996,0,0,996,996,108000
6,1674,2,396,1163,1163,185000
7,2295,2,590,1095,1166,268000
6,1647,1,216,806,841,128000
9,2504,3,656,1122,1134,325000
7,1535,2,532,1517,1535,214000
8,2132,2,612,1496,1496,316600
5,943,2,600,943,943,135960
5,1728,2,576,1728,1728,142600
6,864,1,288,864,864,120000
7,1692,2,650,846,846,224500
7,1430,2,400,384,774,170000
5,1109,1,288,372,576,139000
5,1216,1,336,832,832,118500
7,1477,1,216,861,877,145000
5,1320,2,564,1164,1320,164500
7,1392,2,540,689,703,146000
5,1795,1,352,1050,1050,131500
6,1429,2,572,1144,1429,181900
8,2042,3,1390,2042,2042,253293
6,816,0,0,816,816,118500
10,2775,2,880,1237,1521,325000
4,1573,1,240,884,989,133000
8,2028,3,880,1868,2028,369900
6,838,1,275,816,838,130000
5,860,2,528,840,860,137000
5,1473,1,452,1437,1473,143000
5,935,1,308,742,779,79500
7,1582,2,520,770,770,185900
10,2296,3,842,1722,1728,451950
5,816,2,816,816,816,138000
6,848,2,420,848,848,140000
5,924,1,280,924,924,110000
8,1826,3,758,1814,1826,319000
6,1368,1,216,684,684,114504
7,1402,3,648,1258,1402,194201
5,1647,2,621,1430,1647,217500
6,1556,2,452,716,716,151000
8,1904,2,736,1058,1058,275000
6,1375,1,544,780,780,141000
8,1915,2,506,908,927,220000
7,1200,2,480,600,600,151000
7,1494,2,530,1494,1494,221000
7,1986,2,486,768,1186,205000
5,1040,2,576,1040,1040,152000
5,2008,1,230,896,1112,225000
8,3194,2,380,965,1940,359100
4,1029,1,261,1029,1029,118500
9,2153,3,736,1440,1476,313000
6,1032,2,564,1032,1032,148000
8,1872,2,531,1299,1299,261500
5,1120,0,0,1120,1120,147000
4,630,0,0,630,630,75500
6,1054,2,480,936,1054,137500
6,1509,2,393,783,807,183200
6,832,2,528,832,832,105500
9,1828,3,774,1822,1828,314813
8,2262,3,749,1482,1482,305000
3,864,0,0,864,864,67000
6,2614,2,624,1522,1548,240000
5,980,2,484,980,980,135000
6,1512,2,440,756,756,168500
6,1790,2,484,732,1012,165150
6,1116,2,440,1116,1116,160000
5,1422,1,286,978,1422,139900
6,1520,1,364,1156,1520,153000
5,2080,2,504,1040,1040,135000
6,1350,2,520,1248,1350,168500
5,1750,1,240,636,1089,124000
8,1554,2,627,1554,1554,209500
7,1411,2,544,1386,1411,82500
5,1056,1,260,1056,1056,139400
6,1056,2,576,1056,1056,144000
6,3395,0,0,1440,1440,200000
2,800,0,0,264,800,60000
5,1387,1,256,811,811,93000
5,796,0,0,796,796,85000
8,1567,3,648,1520,1567,264561
8,1518,2,588,1518,1518,274000
7,1929,2,650,1057,1057,226000
8,2704,2,538,1952,2000,345000
5,1620,2,462,780,780,152000
9,1766,3,478,1766,1766,370878
6,981,2,576,981,981,143250
5,1048,2,420,0,1048,98300
6,1094,2,495,1094,1094,155000
6,1839,2,442,756,1051,155000
4,630,0,0,630,630,84500
7,1665,2,562,813,822,205950
4,1510,1,296,755,755,108000
7,1716,2,512,880,909,191000
6,1469,1,216,756,756,135000
8,2113,3,839,2109,2113,350000
6,1092,1,264,525,525,88000
5,1053,1,312,1053,1053,145500
7,1502,1,270,776,851,149000
6,1458,1,330,912,912,97500
5,1486,2,480,1486,1486,167000
7,1935,2,550,793,1142,197900
8,2448,3,711,1629,1686,402000
6,1392,2,576,1392,1392,110000
4,1181,2,588,1138,1181,137500
8,2097,3,1134,2077,2097,423000
8,1936,2,504,1406,1454,230500
6,2380,2,596,1021,1465,129000
6,1679,2,575,1408,1679,193500
5,1437,2,576,1188,1437,168000
4,1180,1,252,700,1180,137500
6,1476,2,540,738,738,173500
6,1369,1,300,672,697,103600
6,1208,2,546,1208,1208,165000
6,1839,2,416,1477,1839,257500
6,1136,1,384,1136,1136,140000
6,1441,2,440,855,855,148500
4,1774,3,779,1095,1095,87000
5,792,1,240,768,792,109500
8,2046,3,834,2046,2046,372500
5,988,2,572,988,988,128500
6,923,1,264,923,923,143000
5,1520,1,281,793,848,159434
6,1291,2,431,1291,1291,173000
9,1668,3,702,1626,1668,285000
7,1839,2,486,1195,1195,221000
7,2090,2,577,1190,1190,207500
7,1761,2,578,874,874,227875
7,1102,2,480,551,551,148800
8,1419,2,567,1419,1419,392000
6,1362,2,460,1362,1362,194700
6,848,2,420,848,848,141000
10,4316,3,832,2444,2444,755000
7,2519,2,628,1210,1238,335000
5,1073,1,326,1073,1073,108480
5,1539,2,576,927,1067,141500
6,1137,2,551,1112,1137,176000
5,616,1,205,616,616,89000
5,1148,1,308,980,1148,123500
5,894,1,336,894,894,138500
7,1391,2,530,1391,1391,196000
8,1800,3,765,1800,1800,312500
7,1164,2,528,1164,1164,140000
8,2576,3,666,1234,1264,361919
5,1812,2,672,360,1032,140000
7,1484,2,606,1473,1484,213000
4,1092,0,0,0,372,55000
7,1824,2,739,1643,1824,302000
8,1324,2,550,1324,1324,254000
7,1456,2,400,728,728,179540
5,904,1,408,876,904,109900
3,729,0,0,270,729,52000
4,1178,1,384,859,859,102776
8,1228,2,472,1228,1228,189000
4,960,2,576,960,960,129000
6,1479,2,475,725,725,130500
6,1350,2,478,1064,1350,165000
7,2554,2,704,718,1576,159500
5,1178,2,439,1176,1178,157000
7,2418,3,983,1311,1325,341000
5,971,1,300,971,971,128500
8,1742,2,564,1742,1742,275000
6,848,2,420,848,848,143000
4,864,2,463,864,864,124500
4,1470,1,548,941,997,135000
9,1698,3,768,1698,1698,320000
4,864,2,660,864,864,120500
6,1680,2,540,880,1680,222000
7,1232,2,632,1232,1232,194500
5,1776,3,888,1584,1776,110000
4,1208,2,539,780,848,103000
8,1616,2,608,1595,1616,236500
7,1146,2,438,868,1146,187500
7,2031,2,541,1153,1153,222500
5,1144,1,264,864,1144,131400
5,948,1,300,948,948,108000
7,1768,2,320,880,880,163000
3,1040,2,400,0,1040,93500
8,1801,3,800,893,901,239900
5,1200,0,0,1200,1200,179000
7,1728,2,572,864,864,190000
5,1432,2,360,264,768,132000
6,912,1,288,912,912,142000
7,1349,2,539,1349,1349,179000
5,1464,2,480,520,1464,175000
8,1337,2,462,1337,1337,180000
8,2715,2,831,1142,1175,299800
7,2256,2,554,952,980,236000
7,2640,4,864,1240,1320,265979
7,1720,2,527,1720,1720,260400
4,1529,1,240,0,1088,98000
4,1140,0,0,576,792,96500
7,1320,2,400,660,660,162000
6,1494,2,576,1479,1494,217000
8,2098,3,878,1030,1038,275500
6,1026,2,440,1026,1026,156000
6,1471,2,440,729,742,172500
8,1768,2,578,866,866,212000
6,1386,2,440,672,672,158900
7,1501,2,440,744,757,179400
8,2531,3,752,1318,1328,290000
6,864,1,300,864,864,127500
5,1301,2,440,1145,1301,100000
7,1547,2,614,756,764,215200
8,2365,3,856,1252,1268,337000
8,1494,2,481,1494,1494,270000
9,1506,2,592,1498,1506,264132
7,1714,2,496,980,980,196500
6,1750,1,423,983,983,160000
7,1836,2,484,1860,1836,216837
8,3279,3,841,1650,1690,538000
5,858,2,576,858,858,134900
4,1220,2,396,836,1220,102000
6,1117,2,672,1029,1117,107000
5,912,1,275,912,912,114500
8,1973,3,895,1935,1973,395000
6,1204,2,412,1204,1204,162000
7,1614,3,865,1614,1614,221500
5,894,2,440,864,894,142500
5,2020,2,630,0,2020,144000
6,1004,2,504,975,1004,135000
7,1253,2,402,1237,1253,176000
6,1603,2,484,761,810,175900
7,1430,2,605,1413,1430,187100
5,1110,2,602,1097,1110,165500
6,1484,0,0,742,742,128000
6,1342,2,457,1372,1342,161500
5,1652,1,416,686,966,139000
7,2084,2,618,956,956,233000
4,901,1,281,901,901,107900
6,2087,2,444,832,976,187500
7,1145,2,397,1145,1145,160200
6,1062,2,539,1029,1062,146800
7,2013,2,455,1117,1127,269790
8,1496,2,474,1496,1496,225000
7,1895,2,409,712,1086,194500
6,1564,2,476,650,888,171000
6,1285,2,528,660,1285,143500
5,773,1,240,773,773,110000
9,3140,3,820,1926,1966,485000
5,1768,1,240,731,981,175000
6,1688,2,603,616,616,200000
4,1196,2,440,1196,1196,109900
7,1456,2,410,728,728,189000
9,2822,3,1020,1734,1734,582933
5,1128,1,286,936,1128,118000
7,1428,2,554,1417,1428,227680
5,980,1,384,980,980,135500
5,1576,2,528,1324,1072,223500
5,1086,2,484,1024,1086,159950
5,2138,2,360,849,1075,106000
6,1309,2,484,1040,1309,181000
6,848,2,420,848,848,144500
5,1044,2,504,540,1044,55993
6,1442,1,301,1442,1442,157900
5,1250,1,280,686,686,116000
7,1661,2,598,1649,1661,224900
5,1008,1,275,1008,1008,137000
8,1689,3,857,1568,1689,271000
6,1052,2,440,1010,1052,155000
